Current (mA)	Voltage (V)
-20.000000000	-0.030106060
-19.800000000	-0.029834320
-19.600000000	-0.029502170
-19.400000000	-0.029243770
-19.200000000	-0.028904960
-19.000000000	-0.028604000
-18.800000000	-0.028321410
-18.600000000	-0.027993270
-18.400000000	-0.027730100
-18.200000000	-0.027401190
-18.000000000	-0.027122790
-17.800000000	-0.026811620
-17.600000000	-0.026515550
-17.400000000	-0.026201050
-17.200000000	-0.025873040
-17.000000000	-0.025601530
-16.800000000	-0.025270790
-16.600000000	-0.025009270
-16.400000000	-0.024675430
-16.200000000	-0.024386870
-16.000000000	-0.024089180
-15.800000000	-0.023788190
-15.600000000	-0.023492090
-15.400000000	-0.023174160
-15.200000000	-0.022900680
-15.000000000	-0.022555040
-14.800000000	-0.022285900
-14.600000000	-0.021952910
-14.400000000	-0.021677930
-14.200000000	-0.021400330
-14.000000000	-0.021074900
-13.800000000	-0.020809100
-13.600000000	-0.020466820
-13.400000000	-0.020197590
-13.200000000	-0.019878860
-13.000000000	-0.019578650
-12.800000000	-0.019280900
-12.600000000	-0.018967320
-12.400000000	-0.018688730
-12.200000000	-0.018350630
-12.000000000	-0.018089970
-11.800000000	-0.017764520
-11.600000000	-0.017494540
-11.400000000	-0.017169810
-11.200000000	-0.016848560
-11.000000000	-0.016563480
-10.800000000	-0.016233800
-10.600000000	-0.015964600
-10.400000000	-0.015660120
-10.200000000	-0.015387690
-10.000000000	-0.015047020
-9.800000000	-0.014755250
-9.600000000	-0.014452450
-9.400000000	-0.014156350
-9.200000000	-0.013884710
-9.000000000	-0.013545790
-8.800000000	-0.013270000
-8.600000000	-0.012938530
-8.400000000	-0.012656890
-8.200000000	-0.012359900
-8.000000000	-0.012042070
-7.800000000	-0.011768720
-7.600000000	-0.011444020
-7.400000000	-0.011175730
-7.200000000	-0.010848550
-7.000000000	-0.010570180
-6.800000000	-0.010258150
-6.600000000	-0.009958734
-6.400000000	-0.009645030
-6.200000000	-0.009322094
-6.000000000	-0.009053774
-5.800000000	-0.008728319
-5.600000000	-0.008459984
-5.400000000	-0.008136192
-5.200000000	-0.007836758
-5.000000000	-0.007551670
-4.800000000	-0.007221994
-4.600000000	-0.006941887
-4.400000000	-0.006613061
-4.200000000	-0.006332992
-4.000000000	-0.006019269
-3.800000000	-0.005726597
-3.600000000	-0.005432208
-3.400000000	-0.005126086
-3.200000000	-0.004852739
-3.000000000	-0.004499509
-2.800000000	-0.004230380
-2.600000000	-0.003902373
-2.400000000	-0.003620612
-2.200000000	-0.003337186
-2.000000000	-0.003018418
-1.800000000	-0.002738350
-1.600000000	-0.002417075
-1.400000000	-0.002142058
-1.200000000	-0.001826658
-1.000000000	-0.001545745
-0.800000000	-0.001210172
-0.600000000	-0.000935144
-0.400000000	-0.000618917
-0.200000000	-0.000295114
0.000000000	0.000014393
0.200000000	0.000265850
0.400000000	0.000592978
0.600000000	0.000867126
0.800000000	0.001190889
1.000000000	0.001515501
1.200000000	0.001771981
1.400000000	0.002098289
1.600000000	0.002375797
1.800000000	0.002689450
2.000000000	0.003003969
2.200000000	0.003283158
2.400000000	0.003615343
2.600000000	0.003893689
2.800000000	0.004206515
3.000000000	0.004508429
3.200000000	0.004800241
3.400000000	0.005115563
3.600000000	0.005393963
3.800000000	0.005711809
4.000000000	0.005995247
4.200000000	0.006314762
4.400000000	0.006609110
4.600000000	0.006913514
4.800000000	0.007238965
5.000000000	0.007502181
5.200000000	0.007823448
5.400000000	0.008103450
5.600000000	0.008420493
5.800000000	0.008730789
6.000000000	0.009020092
6.200000000	0.009348963
6.400000000	0.009619666
6.600000000	0.009948456
6.800000000	0.010237770
7.000000000	0.010534610
7.200000000	0.010828150
7.400000000	0.011124960
7.600000000	0.011443690
7.800000000	0.011722030
8.000000000	0.012061800
8.200000000	0.012340910
8.400000000	0.012650440
8.600000000	0.012943140
8.800000000	0.013217340
9.000000000	0.013545230
9.200000000	0.013822720
9.400000000	0.014149000
9.600000000	0.014432390
9.800000000	0.014743560
10.000000000	0.015047130
10.200000000	0.015330470
10.400000000	0.015651770
10.600000000	0.015937700
10.800000000	0.016263970
11.000000000	0.016523850
11.200000000	0.016839260
11.400000000	0.017131820
11.600000000	0.017448200
11.800000000	0.017760760
12.000000000	0.018047700
12.200000000	0.018367980
12.400000000	0.018640460
12.600000000	0.018963390
12.800000000	0.019250970
13.000000000	0.019548710
13.200000000	0.019865820
13.400000000	0.020155860
13.600000000	0.020482160
13.800000000	0.020757970
14.000000000	0.021079200
14.200000000	0.021362600
14.400000000	0.021677120
14.600000000	0.021965590
14.800000000	0.022248970
15.000000000	0.022567780
15.200000000	0.022856990
15.400000000	0.023188540
15.600000000	0.023463280
15.800000000	0.023766000
16.000000000	0.024078930
16.200000000	0.024364800
16.400000000	0.024676750
16.600000000	0.024948250
16.800000000	0.025265470
17.000000000	0.025568180
17.200000000	0.025881850
17.400000000	0.026178650
17.600000000	0.026475540
17.800000000	0.026806030
18.000000000	0.027079410
18.200000000	0.027392230
18.400000000	0.027663830
18.600000000	0.027983480
18.800000000	0.028297080
19.000000000	0.028591360
19.200000000	0.028921060
19.400000000	0.029192690
19.600000000	0.029517350
19.800000000	0.029806520
20.000000000	0.030110980
